time,name,trash,,,,
36,Housewife_11,100,100,,,
36,Student_1,None,0,,,
36,Student_9,None,0,,,
36 ЦђБе,,,85.71428571,,,
37,Housewife_2,100,100,,,
37,Housewife_8,100,100,,,
37,Housewife_3,100,100,,,
37,Housewife_6,100,100,,,
37,Blue_collar_4,100,100,,,
37,Blue_collar_5,100,100,,,
37,Blue_collar_7,100,100,,,
37,Blue_collar_10,100,100,,,
37,Blue_collar_12,100,100,,,
37,Blue_collar_13,100,100,,,
37,Blue_collar_14,100,100,,,
37,Housewife_11,100,100,,,
37,Student_1,None,0,,,
37,Student_9,None,0,,,
37 ЦђБе,,,85.71428571,,,
38,Housewife_2,100,100,,,
38,Housewife_8,100,100,,,
38,Housewife_3,100,100,,,
38,Housewife_6,100,100,,,
38,Blue_collar_4,100,100,,,
38,Blue_collar_5,100,100,,,
38,Blue_collar_7,100,100,,,
38,Blue_collar_10,100,100,,,
38,Blue_collar_12,100,100,,,
38,Blue_collar_13,100,100,,,
38,Blue_collar_14,100,100,,,
38,Housewife_11,100,100,,,
38,Student_1,None,0,,,
38,Student_9,None,0,,,
38 ЦђБе,,,85.71428571,,,
39,Housewife_2,100,100,,,
39,Housewife_8,100,100,,,
39,Housewife_3,100,100,,,
39,Housewife_6,100,100,,,
39,Blue_collar_4,100,100,,,
39,Blue_collar_5,100,100,,,
39,Blue_collar_7,100,100,,,
39,Blue_collar_10,100,100,,,
39,Blue_collar_12,100,100,,,
39,Blue_collar_13,100,100,,,
39,Blue_collar_14,100,100,,,
39,Housewife_11,100,100,,,
39,Student_1,None,0,,,
39,Student_9,None,0,,,
39 ЦђБе,,,85.71428571,,,
40,Housewife_2,100,100,,,
40,Housewife_8,100,100,,,
40,Housewife_3,100,100,,,
40,Housewife_6,100,100,,,
40,Blue_collar_4,100,100,,,
40,Blue_collar_5,100,100,,,
40,Blue_collar_7,100,100,,,
40,Blue_collar_10,100,100,,,
40,Blue_collar_12,100,100,,,
40,Blue_collar_13,100,100,,,
40,Blue_collar_14,100,100,,,
40,Housewife_11,100,100,,,
40,Student_1,None,0,,,
40,Student_9,None,0,,,
40 ЦђБе,,,85.71428571,,,
41,Housewife_2,100,100,,,
41,Housewife_8,100,100,,,
41,Housewife_3,100,100,,,
41,Housewife_6,100,100,,,
41,Blue_collar_4,100,100,,,
41,Blue_collar_5,100,100,,,
41,Blue_collar_7,100,100,,,
41,Blue_collar_10,100,100,,,
41,Blue_collar_12,100,100,,,
41,Blue_collar_13,100,100,,,
41,Blue_collar_14,100,100,,,
41,Housewife_11,100,100,,,
41,Student_1,None,0,,,
41,Student_9,None,0,,,
41 ЦђБе,,,85.71428571,,,
42,Housewife_2,100,100,,,
42,Housewife_8,100,100,,,
42,Housewife_3,100,100,,,
42,Housewife_6,100,100,,,
42,Blue_collar_4,100,100,,,
42,Blue_collar_5,100,100,,,
42,Blue_collar_7,100,100,,,
42,Blue_collar_10,100,100,,,
42,Blue_collar_12,100,100,,,
42,Blue_collar_13,100,100,,,
42,Blue_collar_14,100,100,,,
42,Housewife_11,100,100,,,
42,Student_1,None,0,,,
42,Student_9,None,0,,,
42 ЦђБе,,,85.71428571,,,
43,Housewife_2,100,100,,,
43,Housewife_8,100,100,,,
43,Housewife_3,100,100,,,
43,Housewife_6,100,100,,,
43,Blue_collar_4,100,100,,,
43,Blue_collar_5,100,100,,,
43,Blue_collar_7,100,100,,,
43,Blue_collar_10,100,100,,,
43,Blue_collar_12,100,100,,,
43,Blue_collar_13,100,100,,,
43,Blue_collar_14,100,100,,,
43,Housewife_11,100,100,,,
43,Student_1,None,0,,,
43,Student_9,None,0,,,
43 ЦђБе,,,85.71428571,,,
44,Housewife_2,100,100,,,
44,Housewife_8,100,100,,,
44,Housewife_3,100,100,,,
44,Housewife_6,100,100,,,
44,Blue_collar_4,100,100,,,
44,Blue_collar_5,100,100,,,
44,Blue_collar_7,100,100,,,
44,Blue_collar_10,100,100,,,
44,Blue_collar_12,100,100,,,
44,Blue_collar_13,100,100,,,
44,Blue_collar_14,100,100,,,
44,Housewife_11,100,100,,,
44,Student_1,None,0,,,
44,Student_9,None,0,,,
44 ЦђБе,,,85.71428571,,,
45,Housewife_2,100,100,,,
45,Housewife_8,100,100,,,
45,Housewife_3,100,100,,,
45,Housewife_6,100,100,,,
45,Blue_collar_4,100,100,,,
45,Blue_collar_5,100,100,,,
45,Blue_collar_7,100,100,,,
45,Blue_collar_10,100,100,,,
45,Blue_collar_12,100,100,,,
45,Blue_collar_13,100,100,,,
45,Blue_collar_14,100,100,,,
45,Housewife_11,100,100,,,
45,Student_1,None,0,,,
45,Student_9,None,0,,,
45 ЦђБе,,,85.71428571,,,
46,Housewife_2,100,100,,,
46,Housewife_8,100,100,,,
46,Housewife_3,100,100,,,
46,Housewife_6,100,100,,,
46,Blue_collar_4,100,100,,,
46,Blue_collar_5,100,100,,,
46,Blue_collar_7,100,100,,,
46,Blue_collar_10,100,100,,,
46,Blue_collar_12,100,100,,,
46,Blue_collar_13,100,100,,,
46,Blue_collar_14,100,100,,,
46,Housewife_11,100,100,,,
46,Student_1,None,0,,,
46,Student_9,None,0,,,
46 ЦђБе,,,85.71428571,,,
47,Housewife_2,100,100,,,
47,Housewife_8,100,100,,,
47,Housewife_3,100,100,,,
47,Housewife_6,100,100,,,
47,Blue_collar_4,100,100,,,
47,Blue_collar_5,100,100,,,
47,Blue_collar_7,100,100,,,
47,Blue_collar_10,100,100,,,
47,Blue_collar_12,100,100,,,
47,Blue_collar_13,100,100,,,
47,Blue_collar_14,100,100,,,
47,Housewife_11,100,100,,,
47,Student_1,None,0,,,
47,Student_9,None,0,,,
47 ЦђБе,,,85.71428571,,,
48,Housewife_2,100,100,,,
48,Housewife_8,100,100,,,
48,Housewife_3,100,100,,,
48,Housewife_6,100,100,,,
48,Blue_collar_4,100,100,,,
48,Blue_collar_5,100,100,,,
48,Blue_collar_7,100,100,,,
48,Blue_collar_10,100,100,,,
48,Blue_collar_12,100,100,,,
48,Blue_collar_13,100,100,,,
48,Blue_collar_14,100,100,,,
48,Housewife_11,100,100,,,
48,Student_1,None,0,,,
48,Student_9,None,0,,,
48 ЦђБе,,,85.71428571,,,
49,Housewife_2,100,100,,,
49,Housewife_8,100,100,,,
49,Housewife_3,100,100,,,
49,Housewife_6,100,100,,,
49,Blue_collar_4,100,100,,,
49,Blue_collar_5,100,100,,,
49,Blue_collar_7,100,100,,,
49,Blue_collar_10,100,100,,,
49,Blue_collar_12,100,100,,,
49,Blue_collar_13,100,100,,,
49,Blue_collar_14,100,100,,,
49,Housewife_11,100,100,,,
49,Student_1,None,0,,,
49,Student_9,None,0,,,
49 ЦђБе,,,85.71428571,,,
50,Housewife_2,100,100,,,
50,Housewife_8,100,100,,,
50,Housewife_3,100,100,,,
50,Housewife_6,100,100,,,
50,Blue_collar_4,100,100,,,
50,Blue_collar_5,100,100,,,
50,Blue_collar_7,100,100,,,
50,Blue_collar_10,100,100,,,
50,Blue_collar_12,100,100,,,
50,Blue_collar_13,100,100,,,
50,Blue_collar_14,100,100,,,
50,Housewife_11,100,100,,,
50,Student_1,None,0,,,
50,Student_9,None,0,,,
50 ЦђБе,,,85.71428571,,,
51,Housewife_2,100,100,,,
51,Housewife_8,100,100,,,
51,Housewife_3,100,100,,,
51,Housewife_6,100,100,,,
51,Blue_collar_4,100,100,,,
51,Blue_collar_5,100,100,,,
51,Blue_collar_7,100,100,,,
51,Blue_collar_10,100,100,,,
51,Blue_collar_12,100,100,,,
51,Blue_collar_13,100,100,,,
51,Blue_collar_14,100,100,,,
51,Housewife_11,100,100,,,
51,Student_1,None,0,,,
51,Student_9,None,0,,,
51 ЦђБе,,,85.71428571,,,
52,Housewife_2,100,100,,,
52,Housewife_8,100,100,,,
52,Housewife_3,100,100,,,
52,Housewife_6,100,100,,,
52,Blue_collar_4,100,100,,,
52,Blue_collar_5,100,100,,,
52,Blue_collar_7,100,100,,,
52,Blue_collar_10,100,100,,,
52,Blue_collar_12,100,100,,,
52,Blue_collar_13,100,100,,,
52,Blue_collar_14,100,100,,,
