time,name,trash,
414,Blue_collar_80,100,
415,Blue_collar_80,100,
416,Blue_collar_80,100,
417,Blue_collar_80,100,
418,Blue_collar_80,100,
419,Blue_collar_80,100,
420,Blue_collar_80,100,
421,Blue_collar_80,100,
422,Blue_collar_80,100,
423,Blue_collar_80,100,
424,Blue_collar_80,100,
425,Blue_collar_80,100,
426,Blue_collar_80,100,
427,Blue_collar_80,100,
428,Blue_collar_80,100,
429,Blue_collar_80,100,
430,Blue_collar_80,100,
431,Blue_collar_80,100,
432,Blue_collar_80,100,
433,Blue_collar_80,100,
434,Blue_collar_80,100,
435,Blue_collar_80,100,
436,Blue_collar_80,100,
437,Blue_collar_80,100,
438,Blue_collar_80,100,
439,Blue_collar_80,100,
440,Blue_collar_80,100,
441,Blue_collar_80,100,
442,Blue_collar_80,100,
443,Blue_collar_80,100,
444,Blue_collar_80,100,
445,Blue_collar_80,100,
446,Blue_collar_80,100,
447,Blue_collar_80,100,
448,Blue_collar_80,100,
449,Blue_collar_80,100,
450,Blue_collar_80,100,
451,Blue_collar_80,100,
452,Blue_collar_80,100,
453,Blue_collar_80,100,
454,Blue_collar_80,100,
455,Blue_collar_80,100,
456,Blue_collar_80,100,
457,Blue_collar_80,100,
458,Blue_collar_80,100,
459,Blue_collar_80,100,
460,Blue_collar_80,100,
461,Blue_collar_80,100,
462,Blue_collar_80,100,
463,Blue_collar_80,100,
464,Blue_collar_80,100,
465,Blue_collar_80,100,
466,Blue_collar_80,100,
467,Blue_collar_80,100,
468,Blue_collar_80,100,
469,Blue_collar_80,100,
470,Blue_collar_80,100,
471,Blue_collar_80,100,
472,Blue_collar_80,100,
473,Blue_collar_80,100,
474,Blue_collar_80,100,
475,Blue_collar_80,100,
476,Blue_collar_80,100,
477,Blue_collar_80,100,
478,Blue_collar_80,100,
479,Blue_collar_80,100,
480,Blue_collar_80,90,
481,Blue_collar_80,90,
482,Blue_collar_80,90,
483,Blue_collar_80,90,
484,Blue_collar_80,90,
485,Blue_collar_80,90,
486,Blue_collar_80,90,
487,Blue_collar_80,90,
488,Blue_collar_80,90,
489,Blue_collar_80,90,
490,Blue_collar_80,90,
491,Blue_collar_80,90,
492,Blue_collar_80,90,
493,Blue_collar_80,90,
494,Blue_collar_80,90,
495,Blue_collar_80,90,
496,Blue_collar_80,90,
497,Blue_collar_80,90,
498,Blue_collar_80,90,
499,Blue_collar_80,90,
500,Blue_collar_80,90,
501,Blue_collar_80,90,
502,Blue_collar_80,90,
503,Blue_collar_80,90,
504,Blue_collar_80,80,
505,Blue_collar_80,80,
506,Blue_collar_80,80,
507,Blue_collar_80,80,
508,Blue_collar_80,80,
509,Blue_collar_80,80,
510,Blue_collar_80,80,
511,Blue_collar_80,80,
512,Blue_collar_80,80,
513,Blue_collar_80,80,
514,Blue_collar_80,80,
515,Blue_collar_80,80,
516,Blue_collar_80,80,
517,Blue_collar_80,80,
518,Blue_collar_80,80,
519,Blue_collar_80,80,
520,Blue_collar_80,80,
521,Blue_collar_80,80,
522,Blue_collar_80,80,
523,Blue_collar_80,80,
524,Blue_collar_80,80,
525,Blue_collar_80,80,
526,Blue_collar_80,80,
527,Blue_collar_80,80,
528,Blue_collar_80,100,
529,Blue_collar_80,100,
530,Blue_collar_80,100,
531,Blue_collar_80,100,
532,Blue_collar_80,100,
533,Blue_collar_80,100,
534,Blue_collar_80,100,
535,Blue_collar_80,100,
536,Blue_collar_80,100,
537,Blue_collar_80,100,
538,Blue_collar_80,100,
539,Blue_collar_80,100,
540,Blue_collar_80,100,
541,Blue_collar_80,100,
542,Blue_collar_80,100,
543,Blue_collar_80,100,
544,Blue_collar_80,100,
545,Blue_collar_80,100,
546,Blue_collar_80,100,
547,Blue_collar_80,100,
548,Blue_collar_80,100,
549,Blue_collar_80,100,
550,Blue_collar_80,100,
551,Blue_collar_80,100,
552,Blue_collar_80,100,
553,Blue_collar_80,100,
554,Blue_collar_80,100,
555,Blue_collar_80,100,
556,Blue_collar_80,100,
557,Blue_collar_80,100,
558,Blue_collar_80,100,
559,Blue_collar_80,100,
560,Blue_collar_80,100,
561,Blue_collar_80,100,
562,Blue_collar_80,100,
563,Blue_collar_80,100,
564,Blue_collar_80,100,
565,Blue_collar_80,100,
566,Blue_collar_80,100,
567,Blue_collar_80,100,
568,Blue_collar_80,100,
569,Blue_collar_80,100,
570,Blue_collar_80,100,
571,Blue_collar_80,100,
572,Blue_collar_80,100,
573,Blue_collar_80,100,
574,Blue_collar_80,100,
575,Blue_collar_80,100,
576,Blue_collar_80,100,
577,Blue_collar_80,100,
578,Blue_collar_80,100,
579,Blue_collar_80,100,
580,Blue_collar_80,100,
581,Blue_collar_80,100,
